| Movie_Id | Movie_Name                                                             | Movie_type | Release_Date | Rateing | Reviews | Movie_Runtime | Movie_Genre          | Movie_Plot                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | Metacritic        | Movie_Image                                                                                                                              | Movie_url                                            |
| -------- | ---------------------------------------------------------------------- | ---------- | ------------ | ------- | ------- | ------------- | -------------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ----------------- | ---------------------------------------------------------------------------------------------------------------------------------------- | ---------------------------------------------------- |
| 1        | Sonic the Hedgehog 3                                                   | PG         | 2024         | 6.9     | 52K     | 1h 50m        | ['action', 'comedy'] | Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched, Team Sonic must seek out an unlikely alliance.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | 56 Metascore      | https://m.media-amazon.com/images/M/MV5BMjZjNjE5NDEtOWJjYS00Mjk2LWI1ZDYtOWI1ZWI3MzRjM2UzXkEyXkFqcGc@._V1_QL75_UX140_CR0,3,140,207_.jpg   | https://www.imdb.com/title/tt18259086/?ref_=sr_i_1   |
| 2        | Borderlands                                                            | PG-13      | 2024         | 4.7     | 45K     | 1h 41m        | ['action', 'comedy'] | An infamous bounty hunter returns to her childhood home, the chaotic planet Pandora, and forms an unlikely alliance with a team of misfits to find the missing daughter of the most powerful man in the universe.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | 26 Metascore      | https://m.media-amazon.com/images/M/MV5BMDhkMzQzZmQtOGQ1NS00Y2FhLTkzYjAtNWE1MmRiOWM1MjUzXkEyXkFqcGc@._V1_QL75_UX140_CR0,4,140,207_.jpg   | https://www.imdb.com/title/tt4978420/?ref_=sr_i_2    |
| 3        | Deadpool & Wolverine                                                   | R          | 2024         | 7.6     | 479K    | 2h 8m         | ['action', 'comedy'] | Deadpool is offered a place in the Marvel Cinematic Universe by the Time Variance Authority, but instead recruits a variant of Wolverine to save his universe from extinction.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | 56 Metascore      | https://m.media-amazon.com/images/M/MV5BZTk5ODY0MmQtMzA3Ni00NGY1LThiYzItZThiNjFiNDM4MTM3XkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg   | https://www.imdb.com/title/tt6263850/?ref_=sr_i_3    |
| 4        | The Ministry of Ungentlemanly Warfare                                  | R          | 2024         | 6.8     | 131K    | 2h 2m         | ['action', 'comedy'] | The British military recruits a small group of highly skilled soldiers to strike against German forces behind enemy lines during World War II.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | 55 Metascore      | https://m.media-amazon.com/images/M/MV5BYmIxODc5ZjMtYzZmZS00OTE5LThkZDktNWNmODNiZjFhMDgyXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg   | https://www.imdb.com/title/tt5177120/?ref_=sr_i_4    |
| 5        | The Fall Guy                                                           | PG-13      | 2024         | 6.8     | 216K    | 2h 6m         | ['action', 'comedy'] | A stuntman, fresh off an almost career-ending accident, has to track down a missing movie star, solve a conspiracy and try to win back the love of his life while still doing his day job.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | 73 Metascore      | https://m.media-amazon.com/images/M/MV5BM2U0MTJiYTItMjNiZS00MzU4LTkxYTAtYTU0ZGY1ODJhMjRhXkEyXkFqcGc@._V1_QL75_UX140_CR0,7,140,207_.jpg   | https://www.imdb.com/title/tt1684562/?ref_=sr_i_5    |
| 6        | Red One                                                                | PG-13      | 2024         | 6.3     | 137K    | 2h 3m         | ['action', 'comedy'] | After Santa Claus is kidnapped, the North Pole's Head of Security must team up with a notorious hacker in a globe-trotting, action-packed mission to save Christmas.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | 34 Metascore      | https://m.media-amazon.com/images/M/MV5BZmFkMjE4NjQtZTVmZS00MDZjLWE2ZmEtZTkzODljNjhlNWUxXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg   | https://www.imdb.com/title/tt14948432/?ref_=sr_i_6   |
| 7        | Thelma                                                                 | PG-13      | 2024         | 7.0     | 21K     | 1h 38m        | ['action', 'comedy'] | When 93-year-old Thelma Post gets duped by a phone scammer pretending to be her grandson, she sets out on a treacherous quest across the city to reclaim what was taken from her.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | 77 Metascore      | https://m.media-amazon.com/images/M/MV5BNmE4OTc5ODAtMmEyOC00NTY5LWE5MGEtMDhkZjhiNzNhY2VjXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg   | https://www.imdb.com/title/tt23778968/?ref_=sr_i_7   |
| 8        | Old Guy                                                                | R          | 2024         | 5.1     | 1.6K    | 1h 34m        | ['action', 'comedy'] | Follows a contract killer facing the end of his career who is thrilled when The Company pulls him back into the field training Gen Z newcomer: Wihlborg, a prodigy assassin with an attitude.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | 33 Metascore      | https://m.media-amazon.com/images/M/MV5BOGM4NzRiNTAtNDQxNy00YjBmLTg3NjMtNDE4MjVlYzUyMmIwXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg   | https://www.imdb.com/title/tt26442053/?ref_=sr_i_8   |
| 9        | Bad Boys: Ride or Die                                                  | R          | 2024         | 6.5     | 98K     | 1h 55m        | ['action', 'comedy'] | When their late police captain gets linked to drug cartels, wisecracking Miami cops Mike Lowrey and Marcus Burnett embark on a dangerous mission to clear his name.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 54 Metascore      | https://m.media-amazon.com/images/M/MV5BZWNjZWUwNDgtYTM4ZC00Zjk0LTg3ZWItNGEyZmVkZTIxZDk0XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg   | https://www.imdb.com/title/tt4919268/?ref_=sr_i_9    |
